| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064549| 0000000064534| 0000000003872| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064543| 0000000005867| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064539| 0000000003315| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064545| 0000000000485| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064537| 0000000000997| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064545| 0000000000329| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064541| 0000000001516| Fri Jan  7 22:00:02 2022
| 0000000064544| 0000000064547| 0000000000331| Fri Jan  7 22:00:02 2022
| 0000000064525| -000000000001| 0000000000167| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064541| 0000000064543| 0000000002951| Fri Jan  7 22:00:02 2022
| 0000000064549| 0000000064540| 0000000000546| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064532| 0000000000861| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064546| 0000000000634| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064550| 0000000002008| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064535| 0000000000485| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064546| 0000000001744| Fri Jan  7 22:00:02 2022
| 0000000064542| 0000000064544| 0000000000742| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064543| 0000000001743| Fri Jan  7 22:00:02 2022
| 0000000064526| -000000000001| 0000000000113| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064533| 0000000064531| 0000000003156| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064550| 0000000001330| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064549| 0000000001235| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064533| 0000000002663| Fri Jan  7 22:00:02 2022
| 0000000064535| 0000000064543| 0000000000432| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064538| 0000000004559| Fri Jan  7 22:00:02 2022
| 0000000064531| 0000000064546| 0000000000979| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064539| 0000000002051| Fri Jan  7 22:00:02 2022
| 0000000064531| 0000000064533| 0000000001014| Fri Jan  7 22:00:02 2022
| 0000000064530| -000000000001| 0000000000171| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064548| 0000000064547| 0000000003265| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064534| 0000000002397| Fri Jan  7 22:00:02 2022
| 0000000064531| 0000000064549| 0000000002642| Fri Jan  7 22:00:02 2022
| 0000000064536| 0000000064531| 0000000001365| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064539| 0000000001966| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064549| 0000000002549| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064532| 0000000000660| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064540| 0000000000196| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064535| 0000000001152| Fri Jan  7 22:00:02 2022
| 0000000064521| -000000000001| 0000000000157| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064547| 0000000064535| 0000000001119| Fri Jan  7 22:00:02 2022
| 0000000064544| 0000000064549| 0000000002287| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064545| 0000000001001| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064536| 0000000000229| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064541| 0000000000807| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064546| 0000000002273| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064540| 0000000000354| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064550| 0000000002772| Fri Jan  7 22:00:02 2022
| 0000000064535| 0000000064547| 0000000000072| Fri Jan  7 22:00:02 2022
