| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005428| 0000000005452| 0000000000164| Sun Jan  9 11:04:11 2022
| 0000000005457| 0000000005470| 0000000000511| Sun Jan  9 11:04:11 2022
| 0000000005402| -000000000001| 0000000000028| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005415| 0000000005470| 0000000000448| Sun Jan  9 11:04:11 2022
| 0000000005407| 0000000005478| 0000000000451| Sun Jan  9 11:04:11 2022
| 0000000005476| 0000000005447| 0000000000121| Sun Jan  9 11:04:11 2022
| 0000000005406| 0000000005489| 0000000000068| Sun Jan  9 11:04:11 2022
| 0000000005433| 0000000005439| 0000000000076| Sun Jan  9 11:04:11 2022
| 0000000005453| 0000000005429| 0000000000221| Sun Jan  9 11:04:11 2022
| 0000000005458| 0000000005501| 0000000000339| Sun Jan  9 11:04:11 2022
| 0000000005416| 0000000005446| 0000000000445| Sun Jan  9 11:04:11 2022
| 0000000005484| 0000000005473| 0000000000117| Sun Jan  9 11:04:11 2022
| 0000000005401| -000000000001| 0000000000021| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005500| 0000000005442| 0000000000263| Sun Jan  9 11:04:11 2022
| 0000000005450| 0000000005416| 0000000000128| Sun Jan  9 11:04:11 2022
| 0000000005448| 0000000005464| 0000000000300| Sun Jan  9 11:04:11 2022
